"","eventID","eventID.temp","eventIDnew","response.eventID","event.start.ts","event.end.ts","event.dur","event.Q.tot.m3","event.baseflow.tot.m3","event.quickflow.tot.m3","rain.start.ts","rain.eventn","rain.mean","rain.peak.mm.h","rain.peak.ts","rain.tot.mm","rain.dur","init.rain.mean","init.rain.peak.mm.h","init.rain.peak.ts","init.rain.centroid.ts","init.rain.tot.mm","init.rain.dur","Q.response.start.ts","Q.response.end.ts","Q.response.dur","Q.response.tot.m3","Q.response.base.m3","Q.response.quick.m3","Q.nopeaks","Q.peak.m3.s","Q.peak.ts","Q.peak.rank","Q.QXX","lag.start.dur","lag.peak.dur","lag.peakinit.dur","rlimb.dur","flimb.dur","rlimb.rain","interevent.dur","interevent.rainfall.tot.mm","interevent.Q.median","anti.rain.mm3h","anti.rain.mm6h","anti.rain.mm12h","anti.rain.mm24h","anti.rain.mm5d","anti.rain.mm30d","Q.dur","quickflow.start.ts","quickflow.end.ts","quickflow.dur","check.outlier1","check.outlier2","check.outlier3","check.manual"
"11",11,11,11,NA,2004-11-19 21:00:00,2004-11-23 03:00:00,280800s (~3.25 days),3790250.01378274,1659277.38908726,2130972.62469549,2004-11-19 21:00:00,2,0.049110253164557,0.863,2004-11-20 07:00:00,0.9699275,39600s (~11 hours),0.1019484375,0.863,2004-11-20 07:00:00,2004-11-20 07:00:00,0.8155875,111600s (~1.29 days),2004-11-20 08:00:00,2004-11-23 03:00:00,241200s (~2.79 days),3556167.51293153,1450220.83089198,2105946.68203955,2,109.763889288031,2004-11-21 12:00:00,0.985,"Q5",39600,104400,104400,100800s (~1.17 days),140400s (~1.62 days),0.8155875,-14400s (~-4 hours),0.01179,26.241666762091,0.040465,0.1734675,1.526875,1.591085,2.884525,35.055385,280800,1100898000,1101178800,280800,NA,FALSE,FALSE,FALSE
"12",12,12,12,NA,2004-11-27 17:00:00,2004-11-29 15:00:00,165600s (~1.92 days),1991697.50724254,896017.678613601,1095679.82862894,2004-11-27 17:00:00,1,0.155515744680851,2.74,2004-11-28 03:00:00,1.82731,15300s (~4.25 hours),0.384696842105263,2.74,2004-11-28 03:00:00,2004-11-28 03:00:00,1.82731,64800s (~18 hours),2004-11-28 00:00:00,2004-11-29 15:00:00,140400s (~1.62 days),1861147.50676782,765467.678138873,1095679.82862894,1,99.5555559175762,2004-11-28 17:00:00,0.979,"Q5",25200,50400,50400,61200s (~17 hours),79200s (~22 hours),1.82731,388800s (~4.5 days),0.65889,23.1500000841819,0.0058,0.0058075,0.590175,0.6633875,3.82324,36.6898175,165600,1101574800,1101740400,165600,NA,FALSE,FALSE,FALSE
"13",13,13,13,NA,2004-12-16 00:00:00,2004-12-18 07:00:00,198000s (~2.29 days),2618527.50952193,885513.969170326,1733013.5403516,2004-12-16 00:00:00,1,0.112182678571429,3.36,2004-12-16 08:00:00,1.5705575,9900s (~2.75 hours),0.369542941176471,3.36,2004-12-16 08:00:00,2004-12-16 07:00:00,1.5705575,57600s (~16 hours),2004-12-16 07:00:00,2004-12-18 07:00:00,172800s (~2 days),2519095.00916036,786081.468808753,1733013.5403516,2,98.2555559128489,2004-12-18 00:00:00,0.978,"Q5",25200,144000,144000,147600s (~1.71 days),25200s (~7 hours),1.5705575,1407600s (~2.33 weeks),0.139665,18.7958334016819,0.0236125,0.0258075,0.0258075,0.026,2.05221,38.6511025,198000,1103155200,1103353200,198000,NA,FALSE,FALSE,FALSE
"14",14,14,14,NA,2004-12-17 20:00:00,2004-12-20 04:00:00,201600s (~2.33 days),4607655.01675513,1262483.94515638,3345171.07159875,2004-12-17 20:00:00,0,0,0,2004-12-17 20:00:00,0,0s,0,0,NA,NA,0,0s,2004-12-18 16:00:00,2004-12-20 04:00:00,129600s (~1.5 days),3697770.01344645,872413.093818806,2825356.91962765,1,192.977778479516,2004-12-19 14:00:00,0.998,"Q5",72000,151200,NA,79200s (~22 hours),50400s (~14 hours),0,-46800s (~-13 hours),0,75.562500274773,0,0,1.5705575,1.596255,3.50982,40.22155,201600,1103313600,1103515200,201600,TRUE,FALSE,FALSE,FALSE
"15",15,15,15,NA,2004-12-19 12:00:00,2004-12-21 19:00:00,198000s (~2.29 days),3148952.51145075,1363804.14031594,1785148.37113481,2004-12-19 12:00:00,0,0,0,2004-12-19 12:00:00,0,0s,0,0,NA,NA,0,0s,2004-12-20 18:00:00,2004-12-21 19:00:00,90000s (~1.04 days),1069425.00388882,657121.681975067,412303.321913756,1,59.702777994879,2004-12-21 07:00:00,0.929,"Q10",108000,154800,NA,46800s (~13 hours),43200s (~12 hours),0,-64800s (~-18 hours),0,121.119444884879,0,0,0,1.59406,1.7102225,40.22155,198000,1103457600,1103655600,198000,TRUE,FALSE,FALSE,FALSE
"16",16,16,16,NA,2004-12-21 06:00:00,2004-12-23 12:00:00,194400s (~2.25 days),4222540.01535471,1428763.06732428,2793776.94803043,2004-12-21 06:00:00,2,0.00323090909090909,0.09572,2004-12-23 07:00:00,0.044425,8100s (~2.25 hours),0.0124733333333333,0.02658,2004-12-22 18:00:00,2004-12-22 18:00:00,0.009355,7200s (~2 hours),2004-12-22 05:00:00,2004-12-23 12:00:00,111600s (~1.29 days),3391585.01233305,843552.120732349,2548032.8916007,1,210.48055632094,2004-12-22 23:00:00,0.999,"Q5",82800,-28800,18000,64800s (~18 hours),46800s (~13 hours),0.009355,-54000s (~-15 hours),0,47.5430557284396,0,0,0,0,1.678855,40.22155,194400,1103608800,1103803200,194400,NA,FALSE,FALSE,FALSE
"17",17,17,17,NA,2004-12-23 14:00:00,2004-12-27 09:00:00,327600s (~3.79 days),4378172.51592065,2522698.8476928,1855473.66822784,2004-12-23 14:00:00,2,0.378193152173913,2.67233,2004-12-25 13:00:00,8.6984425,62100s (~17.25 hours),0.490044366197183,2.67233,2004-12-25 13:00:00,2004-12-25 15:00:00,8.6982875,252000s (~2.92 days),2004-12-24 15:00:00,2004-12-27 09:00:00,237600s (~2.75 days),3727735.01355542,1888363.04151616,1839371.97203925,2,91.2583336651822,2004-12-26 14:00:00,0.973,"Q5",90000,90000,90000,169200s (~1.96 days),68400s (~19 hours),8.6982875,NA,0,28.2111112136971,0.0368125,0.046255,0.046255,0.046255,1.7247575,40.267805,327600,1103810400,1104138000,327600,NA,FALSE,FALSE,FALSE
"18",18,18,18,NA,2004-12-27 09:00:00,2004-12-29 01:00:00,144000s (~1.67 days),2503662.50910424,1111583.70917208,1392078.79993216,2004-12-27 09:00:00,1,0.258342926829268,2.78563,2004-12-27 22:00:00,2.648015,28800s (~8 hours),0.278738421052632,2.78563,2004-12-27 22:00:00,2004-12-27 22:00:00,2.648015,133200s (~1.54 days),2004-12-27 22:00:00,2004-12-29 01:00:00,97200s (~1.12 days),2153022.50782918,769070.595019648,1383951.91280953,1,143.438889410485,2004-12-28 17:00:00,0.994,"Q5",46800,68400,68400,68400s (~19 hours),28800s (~8 hours),2.53881,-7200s (~-2 hours),0.0001875,34.2166667910911,0.000155,0.4805325,6.08504,8.69991,10.3491,48.9644175,144000,1104138000,1104282000,144000,NA,FALSE,FALSE,FALSE
"19",19,19,19,NA,2004-12-28 14:00:00,2005-01-03 00:00:00,468000s (~5.42 days),4750227.51727357,3375934.68571096,1374292.83156261,2004-12-28 14:00:00,1,0.00378778625954199,0.27112,2004-12-28 18:00:00,0.12405,7200s (~2 hours),0.0551333333333333,0.27112,2004-12-28 18:00:00,NA,0.12405,133200s (~1.54 days),2005-01-01 14:00:00,2005-01-03 00:00:00,122400s (~1.42 days),1324665.00481697,862635.805847573,462029.198969396,1,57.6666668763639,2005-01-02 08:00:00,0.924,"Q10",345600,396000,396000,64800s (~18 hours),57600s (~16 hours),0.12405,-46800s (~-13 hours),0.186595,86.6847225374398,0.1406475,2.523165,2.523965,10.502095,12.864165,51.4882275,468000,1104242400,1104710400,468000,NA,TRUE,FALSE,FALSE
"20",20,20,20,NA,2005-01-04 10:00:00,2005-01-05 14:00:00,100800s (~1.17 days),1035512.5037655,694698.802376771,340813.701388734,2005-01-04 10:00:00,1,0.099101724137931,0.72,2005-01-04 12:00:00,0.7184875,20700s (~5.75 hours),0.099101724137931,0.72,2005-01-04 12:00:00,2005-01-05 09:00:00,0.7184875,100800s (~1.17 days),2005-01-04 13:00:00,2005-01-05 14:00:00,90000s (~1.04 days),963740.003504513,624209.899446378,339530.104058135,1,51.2583335197275,2005-01-05 07:00:00,0.906,"Q10",10800,68400,68400,64800s (~18 hours),25200s (~7 hours),0.557365,115200s (~1.33 days),0,26.9333334312728,0.03375,0.03375,0.03375,0.03375,13.0207325,51.6460275,100800,1104832800,1104933600,100800,NA,FALSE,FALSE,FALSE
"21",21,21,21,NA,2005-01-07 19:00:00,2005-01-09 07:00:00,129600s (~1.5 days),1334607.50485312,837644.820864467,496962.683988656,2005-01-07 19:00:00,1,0.18936027027027,1.84,2005-01-08 01:00:00,1.7515825,25200s (~7 hours),0.2189478125,1.84,2005-01-08 01:00:00,2005-01-08 02:00:00,1.7515825,111600s (~1.29 days),2005-01-08 02:00:00,2005-01-09 07:00:00,104400s (~1.21 days),1178487.50428541,682121.002665245,496366.501620169,1,61.3666668898184,2005-01-08 20:00:00,0.933,"Q10",25200,68400,68400,64800s (~18 hours),39600s (~11 hours),1.6800175,183600s (~2.12 days),0.506275,27.2569445435607,0.000445,0.000495,0.37002,1.2248075,12.615535,52.837085,129600,1105124400,1105254000,129600,NA,FALSE,FALSE,FALSE
"22",22,22,22,NA,2005-01-09 11:00:00,2005-01-11 07:00:00,158400s (~1.83 days),2240515.00814734,1142723.57084582,1097791.43730152,2005-01-09 11:00:00,1,0.2978,1.96,2005-01-09 12:00:00,3.35025,26100s (~7.25 hours),0.446693666666667,1.96,2005-01-09 12:00:00,2005-01-10 01:00:00,3.3502025,104400s (~1.21 days),2005-01-09 16:00:00,2005-01-11 07:00:00,140400s (~1.62 days),2100172.507637,1021871.16228531,1078301.34535169,1,89.8166669932731,2005-01-10 20:00:00,0.971,"Q5",18000,115200,115200,100800s (~1.17 days),39600s (~11 hours),3.35025,7200s (~2 hours),0,27.9361112126971,0.1043475,0.4683925,1.8002325,2.4009875,14.4153225,54.6368725,158400,1105268400,1105426800,158400,NA,FALSE,FALSE,FALSE
"23",23,23,23,NA,2005-01-17 01:00:00,2005-01-19 04:00:00,183600s (~2.12 days),2348207.50853895,1149934.23952724,1198273.26901171,2005-01-17 01:00:00,1,0.246745,2.36144,2005-01-17 21:00:00,3.207685,39600s (~11 hours),0.246745,2.36144,2005-01-17 21:00:00,2005-01-17 23:00:00,3.207685,183600s (~2.12 days),2005-01-17 13:00:00,2005-01-19 04:00:00,140400s (~1.62 days),2071642.50753326,893703.099895663,1177939.40763759,1,90.2666669949095,2005-01-18 14:00:00,0.972,"Q5",43200,61200,61200,90000s (~1.04 days),50400s (~14 hours),3.0942075,489600s (~5.67 days),1.9117475,28.8388889937577,0.0330475,0.0785475,0.522395,0.780465,8.53637,59.8506375,183600,1105923600,1106107200,183600,NA,FALSE,FALSE,FALSE
"24",24,24,24,NA,2005-01-20 21:00:00,2005-01-24 07:00:00,295200s (~3.42 days),5299702.51927167,1950132.64007258,3349569.87919909,2005-01-20 21:00:00,2,0.216188915662651,2.62758,2005-01-22 12:00:00,4.48592,36900s (~10.25 hours),0.0736691666666667,0.369,2005-01-21 01:00:00,2005-01-21 00:00:00,0.2210075,39600s (~11 hours),2005-01-21 07:00:00,2005-01-24 07:00:00,259200s (~3 days),5059777.51839921,1728905.58586977,3330871.93252945,1,207.91388964494,2005-01-23 07:00:00,0.999,"Q5",36000,68400,194400,172800s (~2 days),86400s (~1 days),4.4852975,140400s (~1.62 days),0.1089,28.7055556599395,0.002105,0.002105,0.1162625,3.317185,11.5555275,63.167805,295200,1106254800,1106550000,295200,NA,FALSE,FALSE,FALSE
"25",25,25,25,NA,2005-02-09 20:00:00,2005-02-13 16:00:00,331200s (~3.83 days),5818837.52115943,1830578.23088709,3988259.29027234,2005-02-09 20:00:00,1,0.333997311827957,2.55,2005-02-10 05:00:00,7.7654375,69300s (~19.25 hours),0.333997311827957,2.55,2005-02-10 05:00:00,2005-02-11 11:00:00,7.7654375,331200s (~3.83 days),2005-02-10 05:00:00,2005-02-13 16:00:00,298800s (~3.46 days),5670035.02061833,1681775.73034599,3988259.29027234,2,148.625000540455,2005-02-12 06:00:00,0.995,"Q5",32400,176400,176400,176400s (~2.04 days),122400s (~1.42 days),6.937285,1422000s (~2.35 weeks),1.2933925,22.0361111912425,6.5e-05,0.08263,0.1171375,0.5183025,5.77933,64.3742225,331200,1107979200,1108310400,331200,NA,FALSE,FALSE,FALSE
"26",26,26,26,NA,2005-02-28 16:00:00,2005-03-03 02:00:00,208800s (~2.42 days),1727980.00628357,942395.300705922,785584.705577649,2005-02-28 16:00:00,2,0.257271525423729,1.57,2005-03-01 18:00:00,3.794755,41400s (~11.5 hours),0.333262222222222,1.57,2005-03-01 18:00:00,2005-03-01 03:00:00,3.7492,158400s (~1.83 days),2005-03-01 11:00:00,2005-03-03 02:00:00,140400s (~1.62 days),1427182.50518976,642084.024252895,785098.480936866,1,70.0277780324245,2005-03-02 08:00:00,0.948,"Q10",68400,50400,50400,75600s (~21 hours),64800s (~18 hours),3.7475375,1288800s (~2.13 weeks),2.19729,20.6138889638486,0.0072,0.0072075,0.0328475,0.9508575,10.0545625,46.743385,208800,1109606400,1109815200,208800,NA,FALSE,FALSE,FALSE
"27",27,27,27,NA,2005-03-29 00:00:00,2005-03-31 01:00:00,176400s (~2.04 days),1390272.50505554,598939.524485372,791332.98057017,2005-03-29 00:00:00,1,0.3061688,3.62,2005-03-29 11:00:00,3.82711,20700s (~5.75 hours),0.588786153846154,3.62,2005-03-29 11:00:00,2005-03-29 10:00:00,3.82711,90000s (~1.04 days),2005-03-29 10:00:00,2005-03-31 01:00:00,140400s (~1.62 days),1272630.00462775,481297.024057581,791332.98057017,1,66.4166669081821,2005-03-30 05:00:00,0.942,"Q10",36000,64800,64800,68400s (~19 hours),72000s (~20 hours),3.82711,2232000s (~3.69 weeks),6.95857,15.5027778341516,0.03525,0.2947075,0.3507375,0.3511025,5.569985,51.1864925,176400,1112054400,1112230800,176400,NA,FALSE,FALSE,FALSE
"28",28,28,28,NA,2005-04-17 06:00:00,2005-04-19 07:00:00,176400s (~2.04 days),2105700.0076571,548242.621309333,1557457.38634777,2005-04-17 06:00:00,2,0.2010758,1.20133,2005-04-19 04:00:00,2.5134475,27000s (~7.5 hours),0.25517625,1.14,2005-04-17 12:00:00,2005-04-17 11:00:00,1.5310575,82800s (~23 hours),2005-04-17 18:00:00,2005-04-19 07:00:00,133200s (~1.54 days),1980030.00720012,422572.62085235,1557457.38634777,1,116.475000423546,2005-04-18 14:00:00,0.988,"Q5",43200,-50400,93600,72000s (~20 hours),61200s (~17 hours),1.5401775,1479600s (~2.45 weeks),6.6903775,12.9055556024849,1.25e-05,1.25e-05,0.09284,1.1999525,10.558375,59.95852,176400,1113717600,1113894000,176400,NA,FALSE,FALSE,FALSE
"29",29,29,29,NA,2005-04-23 17:00:00,2005-04-27 19:00:00,352800s (~4.08 days),1988555.00723112,1193715.41428848,794839.592942635,2005-04-23 17:00:00,4,0.136250202020202,3.22,2005-04-26 06:00:00,3.3721925,57600s (~16 hours),0.130413333333333,1.4,2005-04-25 02:00:00,2005-04-25 01:00:00,1.27153,136800s (~1.58 days),2005-04-25 02:00:00,2005-04-27 19:00:00,234000s (~2.71 days),1554302.50565202,801310.662176295,752991.84347572,1,58.6555557688487,2005-04-27 00:00:00,0.926,"Q10",118800,64800,165600,165600s (~1.92 days),68400s (~19 hours),3.047535,374400s (~4.33 days),1.4914675,13.7166667165455,0.37744,0.49813,1.293715,1.4322425,10.6952975,62.93374,352800,1114275600,1114628400,352800,NA,FALSE,FALSE,FALSE
